strategy,direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,prev_close,today_open,gap_pct,atr,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
gap_fill,short,571.67,577.9979928571428,559.0140142857142,568.01,2025-08-07 15:45:00-04:00,2025-08-07 09:30:00-04:00,3.66,eod_close,567.32,571.67,0.007668,6.327992857142866,2025-08-07,9,32.94,1.54,31.4,10468.74,0.0056
gap_fill,short,569.29,575.5718928571428,556.7262142857143,568.79,2025-09-03 15:45:00-04:00,2025-09-03 09:30:00-04:00,0.5,eod_close,565.62,569.29,0.006488,6.28189285714285,2025-09-03,9,4.5,1.54,2.96,10471.7,0.0053
gap_fill,short,580.48,587.0690428571429,567.3019142857142,575.35,2025-09-05 15:45:00-04:00,2025-09-05 09:30:00-04:00,5.13,eod_close,575.23,580.48,0.009127,6.589042857142862,2025-09-05,9,46.17,1.57,44.6,10516.31,0.001
gap_fill,short,594.91,600.905,582.92,595.56,2025-09-18 15:45:00-04:00,2025-09-18 09:30:00-04:00,-0.65,eod_close,590.0,594.91,0.008322,5.9950000000000205,2025-09-18,8,-5.2,1.43,-6.63,10509.68,0.0017
gap_fill,long,592.2,586.7367857142858,603.1264285714286,592.87,2025-09-25 15:45:00-04:00,2025-09-25 09:30:00-04:00,0.67,eod_close,596.1,592.2,-0.006543,5.463214285714287,2025-09-25,8,5.36,1.42,3.94,10513.62,0.0013
gap_fill,short,599.11,604.4639285714286,588.4021428571428,598.51,2025-09-29 15:45:00-04:00,2025-09-29 09:30:00-04:00,0.6,eod_close,595.97,599.11,0.005269,5.3539285714285665,2025-09-29,8,4.8,1.44,3.36,10516.98,0.001
gap_fill,long,597.18,591.7139285714286,608.1121428571428,603.1356,2025-10-01 15:45:00-04:00,2025-10-01 09:30:00-04:00,5.9556,eod_close,600.37,597.18,-0.005313,5.466071428571411,2025-10-01,8,47.64,1.43,46.21,10563.19,0.0
gap_fill,short,607.06,612.7596428571428,595.6607142857142,605.835,2025-10-02 15:45:00-04:00,2025-10-02 09:30:00-04:00,1.225,eod_close,603.25,607.06,0.006316,5.699642857142838,2025-10-02,8,9.8,1.46,8.34,10571.53,0.0
gap_fill,short,608.43,614.2196785714285,596.8506428571428,608.31,2025-10-06 15:45:00-04:00,2025-10-06 09:30:00-04:00,0.12,eod_close,603.18,608.43,0.008704,5.789678571428559,2025-10-06,8,0.96,1.46,-0.5,10571.03,0.0
gap_fill,long,595.3,587.4785357142856,610.9429285714285,596.84,2025-10-14 15:45:00-04:00,2025-10-14 09:30:00-04:00,1.54,eod_close,602.01,595.3,-0.011146,7.821464285714293,2025-10-14,8,12.32,1.43,10.89,10581.93,0.0
gap_fill,short,604.01,612.2614642857143,587.5070714285714,601.77,2025-10-15 15:45:00-04:00,2025-10-15 09:30:00-04:00,2.24,eod_close,598.0,604.01,0.01005,8.2514642857143,2025-10-15,8,17.92,1.45,16.47,10598.4,0.0
gap_fill,short,615.99,625.8386642857143,596.2926714285715,617.98,2025-10-24 15:45:00-04:00,2025-10-24 09:30:00-04:00,-1.99,eod_close,610.58,615.99,0.00886,9.848664285714303,2025-10-24,8,-15.92,1.48,-17.4,10581.0,0.0016
